TIME;SELECTED TURBINE SPEED;1r;2r;3r;4r;potencia
19/01/2023 18:20;122,008644;15,443963;15,989095;24,570728;23,48723;0
19/01/2023 18:30;122,08134;15,748037;15,677946;24,012743;23,93449;0
19/01/2023 18:40;122,07561;15,109487;15,533273;24,171753;23,787384;0
19/01/2023 18:50;122,05819;15,178562;15,380423;24,193977;23,512953;0
19/01/2023 19:00;122,02498;15,4256115;15,745972;24,457441;24,055399;0
19/01/2023 19:10;122,00956;15,365708;15,499795;24,631063;23,513264;0
19/01/2023 19:20;122,01887;14,976967;15,846828;24,210945;23,621012;0
19/01/2023 19:30;122,02865;14,909586;15,738121;24,022404;24,111574;0
19/01/2023 19:40;122,05125;15,394277;15,5600395;24,228008;24,05717;0
19/01/2023 19:50;122,0565;14,549016;15,827971;24,21456;23,492046;0
19/01/2023 20:00;122,014;15,342374;15,181436;24,226503;24,30096;0
19/01/2023 20:10;121,98783;15,21552;15,348649;24,404835;23,72079;0
19/01/2023 20:20;122,03251;15,044956;15,817397;24,292316;23,40699;0
19/01/2023 20:30;122,02636;15,079266;15,902958;24,19095;24,20699;0
19/01/2023 20:40;122,06844;15,293789;15,928138;24,366192;23,867113;0
19/01/2023 20:50;122,07201;14,975799;15,985572;23,941738;23,693773;0
19/01/2023 21:00;122,08841;15,253525;16,263906;24,235722;24,282606;0
19/01/2023 21:10;122,05927;14,972272;15,146531;24,254873;23,637281;0
19/01/2023 21:20;122,03603;14,879118;15,587522;25,059427;24,416475;0
19/01/2023 21:30;122,00047;15,500471;16,00177;24,687876;23,628012;0
19/01/2023 21:40;122,04485;15,356552;15,7944765;24,621996;23,587646;0
19/01/2023 21:50;122,02554;15,258172;15,359851;24,676544;23,946249;0
19/01/2023 22:00;122,065125;15,116094;15,519375;24,47809;23,481222;0
19/01/2023 22:10;122,04055;15,736844;16,17965;24,687517;23,333958;0
19/01/2023 22:20;122,014366;15,405856;15,745724;24,356758;23,90686;0
19/01/2023 22:30;122,0628;14,827462;15,415348;24,55507;24,296347;0
19/01/2023 22:40;122,016464;14,894007;16,06094;24,405024;23,747627;0
19/01/2023 22:50;122,0526;14,996769;15,2110815;24,458681;23,585484;0
19/01/2023 23:00;121,978806;15,199238;15,415386;24,784857;24,006483;0
19/01/2023 23:10;122,0053;15,577279;15,386268;23,823172;23,720598;0
19/01/2023 23:20;122,06137;15,203374;15,81935;24,17719;24,13116;0
19/01/2023 23:30;122,034935;15,152577;15,946204;24,523148;23,617691;0
19/01/2023 23:40;122,03323;15,37304;15,853282;23,966887;23,495722;0
19/01/2023 23:50;122,02529;15,196701;15,97939;24,54862;23,56283;0
20/01/2023 00:00;122,011154;14,82402;15,585451;24,716942;24,045189;0
20/01/2023 00:10;122,04933;15,091404;15,715188;24,517569;23,91894;0
20/01/2023 00:20;122,02329;14,674668;15,675261;23,817177;23,590229;0
20/01/2023 00:30;122,04413;15,124053;15,504864;24,350166;23,611317;0
20/01/2023 00:40;122,01006;15,219685;15,964275;24,515257;23,979742;0
20/01/2023 00:50;122,038475;15,114943;15,622089;24,255571;23,197433;0
20/01/2023 01:00;122,0449;15,300617;16,155788;24,253687;23,75792;0
20/01/2023 01:10;121,98394;15,512526;15,963681;24,392471;24,068193;0
20/01/2023 01:20;122,02303;15,132421;15,448929;24,449862;23,64089;0
20/01/2023 01:30;122,00877;15,07811;15,4997;24,140543;23,350874;0
20/01/2023 01:40;122,004616;15,575135;15,448462;24,583786;23,882915;0
20/01/2023 01:50;122,06239;15,223279;16,111639;23,933975;23,817842;0
20/01/2023 02:00;122,036;15,025178;15,908721;24,226791;23,31433;0
20/01/2023 02:10;122,05411;15,207353;15,98338;24,055225;23,677294;0
20/01/2023 02:20;122,02159;15,4218445;16,092505;24,077387;23,244091;0
20/01/2023 02:30;121,991066;15,359384;15,726791;24,696432;24,151773;0
20/01/2023 02:40;122,03993;15,133201;15,564539;24,516582;23,914581;0
20/01/2023 02:50;122,06507;15,105849;15,485218;24,9221;23,826305;0
20/01/2023 03:00;122,045044;14,928555;15,873805;24,500626;23,95239;0
20/01/2023 03:10;121,98428;15,830196;15,794204;24,07947;23,724054;0
20/01/2023 03:20;121,99799;15,6223755;15,771119;24,91132;24,198828;0
20/01/2023 03:30;122,02758;15,39712;15,850011;23,814137;24,156946;0
20/01/2023 03:40;122,022316;15,372454;16,037458;24,237213;24,038029;0
20/01/2023 03:50;121,99586;15,454868;15,876689;24,831005;23,543253;0
20/01/2023 04:00;121,97567;15,481227;15,691457;23,454956;23,020561;0
20/01/2023 04:10;121,98729;15,424725;15,302036;23,958242;23,783482;0
20/01/2023 04:20;121,99184;15,291765;15,699789;24,363115;23,028143;0
20/01/2023 04:30;121,99458;15,51639;15,671171;23,907028;24,388533;0
20/01/2023 04:40;122,03713;14,986491;16,046564;24,831425;23,355373;0
20/01/2023 04:50;122,066925;14,748589;15,833633;24,399103;23,727146;0
20/01/2023 05:00;122,01292;14,806386;15,848471;23,87627;22,885288;0
20/01/2023 05:10;122,00683;15,1297655;15,79305;25,062243;23,804867;0
20/01/2023 05:20;122,01962;15,140826;16,072924;24,074665;23,964237;0
20/01/2023 05:30;121,99311;15,582224;15,81966;24,08468;23,737171;0
20/01/2023 05:40;122,03206;15,57482;15,423322;24,839708;23,971544;0
20/01/2023 05:50;122,02269;15,352316;16,214966;24,324362;23,926208;0
20/01/2023 06:00;121,95757;14,966297;15,823747;24,103182;24,085278;0
20/01/2023 06:10;121,94973;14,988299;16,113588;24,978111;24,650875;0
20/01/2023 06:20;122,01269;15,264728;16,382956;24,246881;24,018461;0
20/01/2023 06:30;122,0075;15,160703;15,901467;24,616394;23,719198;0
20/01/2023 06:40;121,996704;15,128405;16,132128;24,717657;24,439913;0
20/01/2023 06:50;121,979935;15,357805;16,07288;24,483538;23,343204;0
20/01/2023 07:00;121,98473;15,477244;15,704147;24,023996;23,362354;0
20/01/2023 07:10;122,03321;15,322549;15,819455;24,863586;23,970425;0
20/01/2023 07:20;122,01635;15,662711;15,622063;24,068977;24,28159;0
20/01/2023 07:30;122,043816;14,844669;15,499418;24,145662;23,865839;0
20/01/2023 07:40;122,07054;15,072698;15,406312;24,731064;24,161762;0
20/01/2023 07:50;122,03038;15,609671;15,662758;24,655468;23,854013;0
20/01/2023 08:00;122,07301;15,249394;15,777367;24,500181;24,060404;0
20/01/2023 08:10;121,97766;14,595255;15,906499;24,293266;23,850061;0
20/01/2023 08:20;121,96992;14,711935;15,520662;24,260769;24,10554;0
20/01/2023 08:30;122,03693;15,60196;16,042938;24,401144;23,861431;0
20/01/2023 08:40;122,02988;15,662113;15,332884;23,864977;23,659622;0
20/01/2023 08:50;121,95525;15,142058;15,569037;24,139578;24,579763;0
20/01/2023 09:00;122,0209;14,974641;15,554304;23,859594;23,80866;0
20/01/2023 09:10;122,048355;14,954353;15,940401;24,556807;24,107267;0
20/01/2023 09:20;121,99262;15,103605;16,020527;24,53096;24,008566;0
20/01/2023 09:30;121,977486;15,595685;15,392307;24,037699;23,248093;0
20/01/2023 09:40;121,99103;14,845046;15,773993;23,83224;23,307577;0
20/01/2023 09:50;121,99036;15,068218;15,798701;24,352783;23,876816;0
20/01/2023 10:00;122,02304;14,956513;15,565519;24,405685;23,344376;0
20/01/2023 10:10;121,9945;15,344027;15,819027;24,560944;23,91338;0
