time;potencia;rotacao;t1r;t2r;t3r;t4r;g1r;g2r;g3r;g4r
27/01/2023 18:20;135,04047;3598,8;34,082317;33,386127;67,82878;48,601746;31,64987;26,218006;55,847713;45,687218
27/01/2023 18:30;134,43;3600,0364;33,15614;31,998184;67,84432;48,30074;31,109882;26,37394;56,393776;45,399117
27/01/2023 18:40;134,35826;3599,598;31,455143;32,12751;67,20107;48,550632;30,768713;25,409124;56,43867;44,896416
27/01/2023 18:50;134,43898;3600,3962;31,9404;32,4684;68,09542;48,40429;31,405178;25,92078;56,07964;45,26573
27/01/2023 19:00;134,44168;3600,424;32,485386;32,66486;69,93779;48,50129;32,416298;25,396017;55,076332;44,941425
27/01/2023 19:10;134,31206;3600,302;31,486448;33,19704;69,15022;48,01479;32,207424;25,176212;55,661945;45,173954
27/01/2023 19:20;134,36147;3600,1863;31,95072;32,75898;69,50465;47,68789;31,675589;25,883257;55,37944;44,493263
27/01/2023 19:30;134,42445;3599,828;33,73716;32,834835;70,407745;48,480995;31,282503;25,987791;55,943695;44,75721
27/01/2023 19:40;134,60153;3600,3887;33,13579;33,635654;69,74293;47,68745;31,627153;25,566847;55,88499;45,046917
27/01/2023 19:50;134,36243;3600,386;33,692352;33,039906;68,66231;48,05792;31,08183;25,973732;56,11994;45,1002
27/01/2023 20:00;134,32938;3599,9834;33,84668;33,010147;69,511566;47,80955;31,398642;25,604103;55,756523;45,251163
27/01/2023 20:10;134,2355;3600,599;34,858467;33,169727;69,24039;47,297325;32,13217;26,240204;56,065945;45,250217
27/01/2023 20:20;134,26299;3600,4446;32,57283;33,953426;68,26711;48,5289;31,6107;25,673277;56,3642;44,900406
27/01/2023 20:30;134,36281;3600,0547;33,332153;33,338806;68,886154;48,431885;31,839436;25,778753;56,081535;44,509842
27/01/2023 20:40;134,32881;3600,41;34,208202;32,68701;68,39051;49,114;30,935562;25,734175;56,894867;45,925007
27/01/2023 20:50;134,39404;3600,5215;33,72382;33,550266;68,67487;48,122375;31,737326;25,894361;56,120087;44,54721
27/01/2023 21:00;133,97855;3602,073;33,238216;33,840496;69,18232;48,96784;31,304436;26,58421;56,705418;45,226677
27/01/2023 21:10;133,6357;3601,9626;31,883669;34,232025;69,36811;49,01623;31,30868;25,896488;56,724327;45,665737
27/01/2023 21:20;134,24185;3600,626;31,637249;34,600838;69,258484;48,35816;31,734842;25,699478;56,36622;44,99226
27/01/2023 21:30;134,15253;3600,7065;31,798546;34,830303;69,17214;48,256508;32,542442;25,964144;56,844624;45,496548
27/01/2023 21:40;134,32393;3600,3262;32,65273;34,101357;68,57411;47,926773;32,007828;25,982199;56,603184;45,086044
27/01/2023 21:50;134,33006;3600,1987;33,88221;33,28251;68,06199;47,88492;32,107483;25,469034;55,979588;44,84643
27/01/2023 22:00;134,27637;3600,2834;33,663208;33,22848;67,8242;47,252007;31,916803;26,071678;55,986393;45,147636
27/01/2023 22:10;134,45792;3599,506;32,446228;33,26972;66,99224;47,131634;31,913925;25,36323;55,677254;45,413143
27/01/2023 22:20;134,54774;3600,4275;31,522888;33,43703;67,13471;46,62182;32,534164;25,383242;56,580967;45,312473
27/01/2023 22:30;134,51355;3600,3694;32,227726;34,080196;67,20672;46,820816;31,738104;26,434978;56,320236;45,147667
27/01/2023 22:40;134,18962;3601,4053;32,031284;33,51807;67,75566;47,36778;31,28727;25,395134;56,51688;45,09671
27/01/2023 22:50;134,1065;3601,564;31,974876;33,80108;68,13906;46,951435;31,52966;25,983654;56,32811;45,327335
27/01/2023 23:00;134,30933;3600,0916;33,047497;34,05086;68,17569;47,28456;31,697796;26,543705;55,79532;44,85324
27/01/2023 23:10;134,39493;3600,2585;32,173775;34,20994;68,363144;46,961605;32,34714;26,31106;56,036255;44,8387
27/01/2023 23:20;134,5197;3599,4968;32,878338;33,89921;68,03472;47,804676;32,379078;25,577208;55,830784;45,166378
27/01/2023 23:30;134,76727;3600,0505;31,990088;33,232445;67,78148;47,514793;32,10116;26,912657;55,968296;44,420605
27/01/2023 23:40;134,66693;3600,6626;32,12005;33,687065;68,58476;48,342556;32,100758;26,255468;54,961082;45,192295
27/01/2023 23:50;134,54567;3600,218;32,04987;33,62235;68,08599;47,550285;31,970005;26,081764;55,47152;44,623493
28/01/2023 00:00;134,48671;3600,085;31,96196;34,289104;68,15861;48,074028;32,33116;26,441936;55,688026;44,78926
28/01/2023 00:10;134,5208;3600,1575;31,920448;34,70173;67,692444;48,070858;32,298832;26,50146;55,389412;44,45067
28/01/2023 00:20;134,57451;3600,297;33,736027;34,80436;68,95328;48,363815;32,265766;25,957275;55,994442;44,558636
28/01/2023 00:30;134,60585;3599,4639;32,389305;34,53236;69,23199;48,207268;32,045364;26,11202;55,713158;44,618618
28/01/2023 00:40;134,8415;3600,0447;32,266735;33,94514;69,94012;46,57235;32,448315;25,913935;56,48472;44,965
28/01/2023 00:50;134,76006;3600,2422;32,801506;34,263157;69,19163;47,23322;32,00994;26,285295;55,755554;44,51709
28/01/2023 01:00;134,81084;3599,7944;32,08783;34,397984;68,172874;47,534206;32,026546;26,462303;56,719055;44,808765
28/01/2023 01:10;134,73587;3600,8413;32,088802;34,00078;68,54483;47,55296;32,287556;25,628258;55,82553;44,144314
28/01/2023 01:20;134,26863;3600,4595;31,978176;33,881767;68,38913;46,86394;31,80872;25,389055;55,783726;44,58108
28/01/2023 01:30;134,2385;3599,7466;31,357185;33,55502;68,474815;46,278286;32,381897;25,832554;55,844067;44,78142
28/01/2023 01:40;134,28595;3598,8652;32,913605;35,833538;68,65604;46,582066;31,476011;25,656208;55,71904;45,12769
28/01/2023 01:50;134,54768;3598,5574;32,213745;34,29155;69,26367;47,40441;32,192257;26,476482;55,641514;44,21998
28/01/2023 02:00;134,86125;3599,1355;32,720055;33,672478;68,68877;47,118786;32,101677;26,549873;56,034485;44,683624
28/01/2023 02:10;134,60799;3599,8125;32,670536;33,351147;68,004654;47,3276;31,46168;25,238098;56,24183;44,603107
28/01/2023 02:20;134,18697;3600,739;33,091778;34,67559;67,14271;47,430847;32,436672;25,480888;56,23044;44,916416
28/01/2023 02:30;134,313;3599,9224;32,269962;34,184483;67,58666;46,613262;32,17508;25,210598;56,51727;44,414154
28/01/2023 02:40;134,33179;3599,914;31,097488;33,426666;67,324326;46,833546;31,695852;25,410261;56,36989;44,92138
28/01/2023 02:50;134,33026;3599,9302;32,635826;33,68397;67,94788;47,83403;32,152805;26,00388;55,553974;44,879326
28/01/2023 03:00;134,58899;3600,0596;31,543467;33,56856;68,442444;47,36576;32,189056;25,565613;56,02313;44,804676
28/01/2023 03:10;134,6647;3600,7563;30,93976;33,822693;68,05863;47,256973;32,329567;25,472502;56,325;44,932407
28/01/2023 03:20;134,70439;3600,2617;30,13448;34,011723;68,71624;47,532444;32,486145;26,063324;55,779808;44,59575
28/01/2023 03:30;134,41205;3600,0742;30,858564;32,915955;69,49091;46,986546;31,759651;26,22172;55,288803;43,735886
28/01/2023 03:40;134,52075;3600,252;30,45687;34,214695;68,914246;47,472202;32,386974;27,30092;55,38079;43,92843
28/01/2023 03:50;134,42546;3599,8054;31,467604;33,890015;68,96657;47,80877;32,59988;26,316633;55,334587;44,236256
28/01/2023 04:00;134,46362;3600,385;31,13129;33,9054;69,46801;47,22707;32,4139;27,013714;54,70403;44,719635
28/01/2023 04:10;134,72626;3599,8547;30,85426;33,802902;70,21101;47,29116;32,29963;26,47312;54,847237;43,41657
28/01/2023 04:20;134,42595;3600,9785;31,454092;33,00956;69,62432;47,476273;31,825865;26,375248;54,73487;44,52636
28/01/2023 04:30;134,3187;3600,005;31,010632;33,179;68,96948;47,657658;32,534477;26,142656;55,167877;44,40818
28/01/2023 04:40;134,18304;3600,0913;32,170044;33,24472;69,559044;48,401817;32,00969;26,596638;54,533234;43,999577
28/01/2023 04:50;134,20157;3600,2964;31,056849;33,091595;69,18959;48,083664;32,00389;26,531004;54,82306;44,50692
28/01/2023 05:00;134,24301;3599,6018;31,41085;33,416084;68,93946;48,03393;31,805307;26,474453;54,944088;43,475525
28/01/2023 05:10;134,2928;3599,9314;32,45079;33,46805;68,67858;47,03659;31,664919;26,298826;54,719696;44,19825
28/01/2023 05:20;134,27266;3600,5244;31,456673;33,1294;68,81128;47,623734;31,877356;26,072067;55,107155;43,91231
28/01/2023 05:30;134,32324;3600,3533;31,213095;33,254066;68,492485;47,712234;31,823658;26,381092;55,10621;44,546234
28/01/2023 05:40;134,24596;3600,4434;31,408478;32,70328;67,86862;47,330547;32,03919;25,98731;55,20281;44,19401
28/01/2023 05:50;134,2159;3600,2256;31,134409;34,491295;68,17879;47,769653;31,943779;26,214113;56,55281;44,6308
28/01/2023 06:00;134,46053;3599,933;34,750736;34,273964;68,845695;48,125725;32,522957;25,532984;56,40079;44,930473
28/01/2023 06:10;134,27383;3600,293;32,48989;34,401608;68,765854;48,11697;32,069122;25,875717;55,783;44,698456
28/01/2023 06:20;134,16354;3600,8733;32,61634;33,355446;67,97844;47,34258;31,487638;26,225735;55,97173;44,579823
28/01/2023 06:30;134,29486;3600,371;32,01624;33,216755;68,25771;47,969955;32,44354;26,425516;55,57657;44,33437
28/01/2023 06:40;134,22937;3600,2295;31,342676;33,552;69,10163;48,36228;32,10273;25,51045;55,572372;45,03517
28/01/2023 06:50;134,26491;3599,9802;31,964312;34,001442;69,044716;48,121372;31,947401;26,694687;55,92602;44,872776
28/01/2023 07:00;134,89009;3598,4292;32,40458;34,517532;69,78026;47,274574;32,543415;26,868313;54,67365;43,99502
28/01/2023 07:10;134,67581;3600,3386;31,95108;34,307785;68,641884;48,052563;32,30935;27,642996;55,269165;44,92737
28/01/2023 07:20;134,54358;3600,059;32,375187;35,310635;69,12016;48,020676;32,879078;26,875406;55,15981;44,203964
28/01/2023 07:30;134,56201;3600,457;32,196045;34,981068;69,57851;48,800037;33,169693;26,750721;55,36581;44,55549
28/01/2023 07:40;134,20102;3601,619;32,821705;34,906265;69,01362;48,69607;32,972523;26,55633;55,502213;44,667114
28/01/2023 07:50;133,42574;3602,9216;33,36681;33,71055;68,316444;48,073914;33,207928;26,92779;55,596157;44,16732
28/01/2023 08:00;133,67828;3602,63;33,32017;33,605194;66,990364;48,721416;32,73353;26,662838;55,72794;44,834686
28/01/2023 08:10;134,17677;3600,7798;35,727478;34,492558;68,640144;48,682888;33,361492;26,92922;55,46432;44,671864
28/01/2023 08:20;133,96132;3601,8723;33,246666;34,434074;69,7529;48,434227;32,85283;27,000475;55,545338;44,091763
28/01/2023 08:30;134,29745;3599,999;36,45866;32,951702;70,333786;48,066452;32,97661;27,095129;55,17661;44,854774
28/01/2023 08:40;134,12227;3601,2673;38,075195;33,58297;69,203;48,523125;33,067585;26,81747;54,889755;44,780617
28/01/2023 08:50;134,2089;3600,365;38,288338;33,61402;70,40484;48,192806;32,95603;26,630888;54,76132;44,174168
28/01/2023 09:00;134,21213;3600,607;39,67074;33,935135;70,29654;48,310703;33,05792;25,84879;55,083305;44,653534
28/01/2023 09:10;134,24423;3600,578;36,448532;34,163116;70,47954;47,71978;32,994274;26,335773;55,098076;44,860363
28/01/2023 09:20;134,35533;3600,018;35,03479;35,097496;69,11014;47,89387;33,05227;25,926834;54,93375;43,727016
28/01/2023 09:30;134,24948;3600,4539;35,29714;33,64291;70,04941;49,25976;32,557213;26,318216;55,362286;44,8384
28/01/2023 09:40;134,2672;3599,8647;34,11574;34,48762;69,98212;48,416714;32,219597;26,200287;54,78603;44,47813
28/01/2023 09:50;134,37129;3600,7747;32,783226;36,58136;69,53508;48,54405;32,370956;25,72563;55,20113;44,891766
28/01/2023 10:00;134,18158;3601,5596;32,40344;35,42969;69,1321;47,251125;32,668587;25,99419;54,926537;45,04454
28/01/2023 10:10;134,10486;3600,6428;33,02645;33,182262;67,87904;47,04729;31,607906;26,67135;55,09614;45,014626
28/01/2023 10:20;134,94777;3599,125;32,66725;33,88075;67,02949;47,48215;32,20376;25,94816;55,215767;44,69109
28/01/2023 10:30;134,661;3599,358;32,736813;34,19139;66,72275;46,87949;32,39977;26,541346;55,376892;44,999348
28/01/2023 10:40;134,57806;3600,0254;32,30429;33,27262;66,04929;48,406364;32,651337;25,374397;55,70748;44,390766
28/01/2023 10:50;134,5242;3600,6687;31,917173;32,703793;66,26747;47,70532;32,218975;25,950918;55,95489;44,926315
28/01/2023 11:00;134,23592;3601,2805;33,002037;33,66866;66,42667;48,282032;32,12946;25,99502;56,030598;45,034782
28/01/2023 11:10;134,03482;3601,2449;35,12649;33,011497;66,34027;48,684746;31,984245;26,719042;56,163048;45,749634
28/01/2023 11:20;134,35744;3599,7988;34,459473;33,558372;68,251335;48,303635;32,617702;25,822145;55,752823;45,25502
28/01/2023 11:30;134,52298;3599,8987;35,26779;33,311153;66,90666;48,24279;32,56637;26,571337;56,35063;45,30696
28/01/2023 11:40;134,21169;3599,6204;33,411762;35,57923;65,76873;48,87288;32,690285;26,500347;55,58817;45,207214
28/01/2023 11:50;134,29492;3600,1196;33,345604;33,390354;65,28258;49,05959;32,408474;27,319365;56,154964;44,89807
28/01/2023 12:00;134,2676;3599,5173;32,673615;32,83276;65,157524;49,026608;32,77681;26,290829;55,75023;45,208195
28/01/2023 12:10;135,07974;3597,8743;34,376736;31,656374;65,975494;48,226852;33,335545;26,281912;55,776913;44,993736
28/01/2023 12:20;134,73788;3600,1433;33,72296;32,59219;67,672455;48,390076;33,668854;26,454098;55,592007;44,831486
28/01/2023 12:30;134,58209;3600,3604;34,44133;32,909927;66,844124;48,296246;33,160534;26,54043;56,36261;45,297935
28/01/2023 12:40;134,08792;3600,6858;34,60634;31,410147;65,59078;48,856834;32,5035;26,27887;56,13797;45,658653
28/01/2023 12:50;134,48901;3599,672;33,045692;32,69176;67,09214;49,03664;33,439518;26,423565;55,13757;44,716812
28/01/2023 13:00;134,5199;3600,2202;31,099396;33,670013;65,37862;48,91641;33,510048;26,94729;55,74333;45,03632
28/01/2023 13:10;134,60864;3600,3496;32,692135;33,03275;66,18565;48,817844;33,28841;26,801243;55,976116;45,43635
28/01/2023 13:20;134,48085;3600,1875;33,47154;32,874653;65,95159;48,34393;33,08199;26,630344;56,120415;45,256836
28/01/2023 13:30;134,58846;3599,8933;33,42645;32,24726;65,00123;49,317463;33,743694;26,584833;56,127476;45,351913
28/01/2023 13:40;134,14954;3600,6187;33,76385;32,44943;66,00496;49,06334;33,160244;26,062277;56,492664;45,62559
28/01/2023 13:50;134,20796;3600,7065;33,305008;32,599346;65,16413;49,187096;33,478893;26,9697;56,388416;45,856213
28/01/2023 14:00;134,43289;3599,9487;32,678516;32,516933;65,00338;48,894382;33,41306;26,891172;55,965187;45,57335
28/01/2023 14:10;134,38387;3599,8843;33,23993;33,106968;66,757996;48,191498;33,229908;26,825731;55,873806;45,75116
28/01/2023 14:20;134,51006;3599,7378;32,57907;32,440266;67,66417;48,509525;32,91945;25,66604;55,546673;46,586773
28/01/2023 14:30;134,54109;3600,2554;32,13077;32,84606;67,20635;47,258423;32,448856;26,424469;56,175037;46,243824
28/01/2023 14:40;134,79198;3598,3062;32,23074;32,677074;67,495094;46,648502;32,369953;26,195257;57,149895;45,611156
28/01/2023 14:50;135,05798;3598,1338;33,239937;32,474216;67,59902;46,661285;32,98308;25,770111;56,67038;44,95747
28/01/2023 15:00;134,76477;3599,677;32,618202;32,85168;67,12265;46,10758;32,049713;25,797964;56,43043;45,449394
28/01/2023 15:10;134,22267;3600,356;32,079594;33,813408;67,522964;46,857975;31,634495;25,654406;56,281567;45,157654
28/01/2023 15:20;134,35469;3599,0251;31,793697;33,434803;67,32883;47,27143;32,743816;25,546162;56,678143;46,068405
28/01/2023 15:30;134,80759;3598,8435;31,497833;33,71582;66,81313;45,705433;32,691685;26,117235;57,268387;45,546032
28/01/2023 15:40;134,4469;3599,9375;31,749681;34,508224;67,10166;45,976242;32,268356;25,746164;56,609436;44,797832
28/01/2023 15:50;134,52753;3599,8596;31,895622;34,066082;68,070656;45,90727;33,000507;26,49182;56,696495;45,5949
28/01/2023 16:00;134,28523;3599,7625;32,431965;33,643845;68,120445;45,816277;32,466743;26,676016;56,341522;45,247494
28/01/2023 16:10;134,7217;3598,852;32,23858;33,66228;68,19531;45,531914;32,822197;26,348017;56,442646;45,469578
28/01/2023 16:20;136,23354;3596,4275;32,78315;34,21212;68,15603;46,095184;33,294914;25,847914;55,921623;45,110737
28/01/2023 16:30;135,58408;3599,001;31,912191;33,70735;67,16089;46,488503;32,766144;25,839931;55,577114;45,35663
28/01/2023 16:40;134,24194;3600,856;32,10986;33,205357;67,1634;46,680317;32,250645;25,784012;56,391434;44,8907
28/01/2023 16:50;133,40044;3603,0303;31,751617;34,244526;67,48221;46,36451;33,447933;27,518867;55,658554;44,76073
28/01/2023 17:00;133,95433;3601,4812;32,327328;33,79643;68,02978;46,801052;33,3842;26,857723;55,531784;44,592426
28/01/2023 17:10;134,64232;3599,238;32,30385;33,36176;69,492355;46,1003;33,299725;26,429855;55,304775;44,32119
28/01/2023 17:20;134,85013;3598,9019;33,43545;33,149487;70,00058;46,49155;32,703117;26,014273;56,215584;45,252712
28/01/2023 17:30;134,77284;3599,9473;31,913866;33,655533;68,52479;46,99278;32,2462;27,09249;55,771645;44,194912
28/01/2023 17:40;134,80087;3600,1511;32,307407;33,643642;69,29498;46,70463;33,134926;26,664011;56,114693;44,6959
28/01/2023 17:50;134,20067;3601,5637;31,620283;34,032;68,3563;47,07893;32,594475;27,474836;56,001152;45,103752
28/01/2023 18:00;134,35565;3599,9495;31,39415;34,417027;69,2312;46,83464;32,88893;27,524746;55,374905;45,082153
28/01/2023 18:10;134,72194;3599,8694;31,247759;34,062992;68,24559;46,91121;32,99518;27,263538;56,151592;44,89555
28/01/2023 18:20;134,67604;3598,98;31,74214;33,144585;69,663734;46,293343;32,8251;27,543312;56,05553;45,31181
28/01/2023 18:30;134,30026;3601,3494;33,52517;33,85717;68,31424;47,018635;32,834625;27,174511;55,864014;44,90093
28/01/2023 18:40;134,1829;3600,955;33,89257;34,194733;67,406166;46,444374;33,075817;27,396223;56,05783;45,111134
28/01/2023 18:50;134,05252;3601,789;31,854618;33,68611;67,97107;46,96209;32,572548;26,930815;56,585255;44,235783
28/01/2023 19:00;133,62488;3602,5566;31,327936;36,980846;67,6188;46,85774;32,915527;26,77452;55,336086;44,540154
28/01/2023 19:10;134,23807;3600,5798;32,19612;33,976086;69,4841;47,822674;33,12317;27,057587;56,139694;44,671383
28/01/2023 19:20;134,32506;3600,7437;32,078148;34,451176;68,04808;48,454235;33,029644;26,36111;56,610493;44,693577
28/01/2023 19:30;134,73958;3600,211;31,881437;33,32985;69,233574;47,465405;32,791664;26,904966;56,043545;45,05461
28/01/2023 19:40;134,80884;3600,2397;31,81792;33,6307;68,70257;47,706852;33,17819;27,014034;55,69276;44,18748
28/01/2023 19:50;133,77792;3602,275;30,45639;33,352627;68,11859;46,939026;32,76714;26,656979;55,163616;45,06589
28/01/2023 20:00;133,12473;3602,015;31,028072;33,96329;68,10116;46,552567;33,085247;27,151152;56,099167;43,51735
28/01/2023 20:10;134,34857;3601,2065;30,666677;34,219402;68,02005;47,02628;33,07315;26,452826;56,299435;43,795284
28/01/2023 20:20;133,97537;3601,7551;31,913567;34,181377;68,52559;46,494877;32,874157;27,074621;55,763683;44,88979
28/01/2023 20:30;134,4577;3599,8755;32,05747;33,336933;68,85035;47,60601;33,223804;26,94141;55,829895;44,044445
28/01/2023 20:40;134,3051;3600,9167;31,84661;33,224922;68,172714;47,136738;32,854595;26,674738;55,544678;44,588425
28/01/2023 20:50;134,1606;3600,4426;32,96665;33,93034;68,16344;45,76458;32,78271;26,506554;55,25423;44,349594
